"gene","gene_name","dev_default","rank_default","dev_batch","rank_batch","d_diff","nSD_dev","r_diff","nSD_rank"
"ENSG00000002330","BAD",15830.430860253,1310,15785.1230071759,1289,0.00287028824903477,-0.310520710895853,-21,-0.491407547945666
"ENSG00000002586","CD99",18837.2091436878,865,18616.0966932774,858,0.0118774872119303,-0.138696732132425,-7,-0.163802515981889
"ENSG00000004059","ARF5",15033.3197231643,1443,14985.5734236612,1417,0.00318615098356938,-0.304495220394932,-26,-0.608409345075586
"ENSG00000004660","CAMKK1",14586.5375663402,1506,14479.2652784697,1487,0.00740868309319656,-0.223944954932689,-19,-0.444606829093697
"ENSG00000004779","NDUFAB1",19859.7764726917,756,19469.7179424192,764,0.0200341130480712,0.0169014632914468,8,0.187202875407873
"ENSG00000005022","SLC25A5",16842.0334076601,1150,16739.6116038375,1131,0.00611852928530006,-0.2485563087401,-19,-0.444606829093697
"ENSG00000005249","PRKAR2B",10590.71038304,1957,10313.2449765776,1972,0.026903792850123,0.147949497345293,15,0.351005391389761
"ENSG00000005379","TSPOAP1",11556.5558011975,1877,11426.5345486382,1870,0.0113788876238739,-0.148208164641307,-7,-0.163802515981889
"ENSG00000005486","RHBDD2",26775.0083671285,298,26343.7153790769,289,0.0163717600894737,-0.0529626597921573,-9,-0.210603234833857
"ENSG00000005513","SOX8",15253.5285889466,1401,15087.8729038669,1395,0.0109793929293555,-0.155829043028673,-6,-0.140402156555904
"ENSG00000005810","MYCBP2",13689.1504401919,1612,13505.6790777312,1614,0.0135847565609022,-0.106128359481878,2,0.0468007188519682
"ENSG00000005882","PDK2",13521.7385932906,1635,13459.1394344904,1619,0.0046510521051403,-0.276550335393479,-16,-0.374405750815745
"ENSG00000005893","LAMP2",22246.3680289136,542,22006.3495707991,526,0.0109067820331704,-0.157214189857946,-16,-0.374405750815745
"ENSG00000006007","GDE1",14628.8666494253,1498,14564.3877678494,1477,0.00442716045491541,-0.28082135841762,-21,-0.491407547945666
"ENSG00000006015","REX1BD",17546.3873632413,1035,17360.3777048601,1027,0.0107146089528396,-0.160880140106152,-8,-0.187202875407873
"ENSG00000006116","CACNG3",16995.7379084986,1121,16685.9374451976,1140,0.0185665602737959,-0.0110940054175312,19,0.444606829093697
"ENSG00000006125","AP2B1",18648.2400712876,889,18325.2698246552,890,0.0176243105680132,-0.029068638164426,1,0.0234003594259841
"ENSG00000006128","TAC1",54091.8177072824,42,53502.0574074079,39,0.0110231330990428,-0.154994642676419,-3,-0.0702010782779522
"ENSG00000006210","CX3CL1",16056.4484768936,1279,15656.1560343064,1310,0.0255677346156988,0.122462457185075,31,0.725411142205506
"ENSG00000006652","IFRD1",11538.4373796658,1879,11193.1895872229,1892,0.0308444514186527,0.223122660165636,13,0.304204672537793
"ENSG00000007168","PAFAH1B1",20103.4124830079,730,19897.458656373,717,0.0103507603755707,-0.167821022668123,-13,-0.304204672537793
