"gene","gene_name","dev_default","rank_default","dev_batch","rank_batch","d_diff","nSD_dev","r_diff","nSD_rank","nSD.bin_dev","nSD.bin_rank"
"ENSG00000078369","GNB1",6068.53723731953,531,6056.11768546213,523,0.00205074480094859,-0.428452883373766,-8,-0.706686470215638,"[0,4)","[0,5)"
"ENSG00000187730","GABRD",4119.28373272339,1189,4061.83595057685,1197,0.0141433043691445,0.360038830345339,8,0.706686470215638,"[0,4)","[0,5)"
"ENSG00000067606","PRKCZ",4900.01148312203,909,4874.73775279535,904,0.00518463384254694,-0.224108589919599,-5,-0.441679043884774,"[0,4)","[0,5)"
"ENSG00000158109","TPRG1L",4336.52444349547,1110,4321.29265003486,1098,0.00352482340220344,-0.332336031031189,-12,-1.06002970532346,"[0,4)","[0,5)"
"ENSG00000069424","KCNAB2",5774.29786494997,615,5757.91691927726,602,0.00284494304144461,-0.376667425700405,-13,-1.14836551410041,"[0,4)","[0,5)"
"ENSG00000116254","CHD5",3762.13964970915,1292,3751.48007343873,1288,0.00284143219789154,-0.376896349199532,-4,-0.353343235107819,"[0,4)","[0,5)"
"ENSG00000116251","RPL22",7222.22888138166,312,7165.69676476994,310,0.00788927001344142,-0.0477536009407498,-2,-0.17667161755391,"[0,4)","[0,5)"
"ENSG00000097021","ACOT7",6200.1360467654,508,6171.73618419018,502,0.00460160021874685,-0.262125122200745,-6,-0.530014852661729,"[0,4)","[0,5)"
"ENSG00000116288","PARK7",5931.54238669075,577,5928.56999346695,557,0.000501367653090086,-0.529479554825956,-20,-1.7667161755391,"[0,4)","[0,5)"
"ENSG00000074800","ENO1",6690.03576812285,407,6641.1317356993,405,0.00736381002061306,-0.082016061911027,-2,-0.17667161755391,"[0,4)","[0,5)"
"ENSG00000171603","CLSTN1",7378.2768425094,287,7240.12526031188,299,0.0190813801184927,0.682024576052872,12,1.06002970532346,"[0,4)","[0,5)"
"ENSG00000054523","KIF1B",5592.2272605251,672,5494.5507088781,681,0.0177769861126529,0.596971956776589,9,0.795022278992593,"[0,4)","[0,5)"
"ENSG00000241563","CORT",5073.04789459649,848,5003.86393159125,854,0.0138261079739727,0.339356134692361,6,0.530014852661729,"[0,4)","[0,5)"
"ENSG00000116649","SRM",4066.45596898098,1208,4060.68857381557,1198,0.00142029979905386,-0.469560860319939,-10,-0.883358087769548,"[0,4)","[0,5)"
"ENSG00000116661","FBXO2",5734.74294526061,624,5734.62154338896,614,2.11699884169508e-05,-0.560790699286874,-10,-0.883358087769548,"[0,4)","[0,5)"
"ENSG00000132879","FBXO44",4582.09343979265,1022,4543.97252184246,1027,0.00838933725214029,-0.0151468668748307,5,0.441679043884774,"[0,4)","[0,5)"
"ENSG00000159363","ATP13A2",4251.24551283537,1142,4226.63246996652,1140,0.0058233222414632,-0.182463104747172,-2,-0.17667161755391,"[0,4)","[0,5)"
"ENSG00000117154","IGSF21",3024.6410385528,1449,3024.5999028113,1447,1.36003910676536e-05,-0.561284272607927,-2,-0.17667161755391,"[0,4)","[0,5)"
"ENSG00000077549","CAPZB",5423.4442545555,716,5399.67678568812,710,0.00440164658195385,-0.275163039016465,-6,-0.530014852661729,"[0,4)","[0,5)"
"ENSG00000158747","NBL1",5322.9150241512,760,5280.93820865833,760,0.00794874202921773,-0.0438757460190242,0,0,"[0,4)","[0,5)"
"ENSG00000162545","CAMK2N1",10369.213673739,102,10029.4259531909,113,0.0338790796336648,1.64690412731889,11,0.971693896546503,"[0,4)","[0,5)"
"ENSG00000158828","PINK1",5304.94943632818,765,5295.84527438105,753,0.0017191140366533,-0.450076767728977,-12,-1.06002970532346,"[0,4)","[0,5)"
"ENSG00000076864","RAP1GAP",4241.63962031544,1147,4180.61591441854,1159,0.0145968218908703,0.389610304100796,12,1.06002970532346,"[0,4)","[0,5)"
"ENSG00000117318","ID3",6169.88716546608,514,6167.32889832705,506,0.000414809584700676,-0.535123547670952,-8,-0.706686470215638,"[0,4)","[0,5)"
"ENSG00000142676","RPL11",9067.781114563,157,9024.96080153073,150,0.004744653630518,-0.25279736746324,-7,-0.618350661438684,"[0,4)","[0,5)"
"ENSG00000057757","PITHD1",4737.58513536116,971,4735.3728014749,957,0.000467193181827069,-0.531707890957745,-14,-1.23670132287737,"[0,4)","[0,5)"
"ENSG00000011009","LYPLA2",3015.28909707942,1451,3014.9425913231,1450,0.000114929470736192,-0.554677140410079,-1,-0.0883358087769548,"[0,4)","[0,5)"
