"gene","gene_name","dev_default","rank_default","dev_batch","rank_batch","d_diff","nSD_dev","r_diff","nSD_rank","nSD.bin_dev","nSD.bin_rank"
"ENSG00000131584","ACAP3",22746.5206873913,1407,22357.1209617344,1395,0.0174172571827755,-0.232135535166902,-12,-0.160951205078519,"[0,5)","[0,6)"
"ENSG00000175756","AURKAIP1",24865.187366205,1132,24324.5875494212,1143,0.0222244186334284,-0.15899600800929,11,0.147538604655309,"[0,5)","[0,6)"
"ENSG00000242485","MRPL20",25730.3070755616,1033,25505.543340248,999,0.00881234844971353,-0.363056654091478,-34,-0.456028414389137,"[0,5)","[0,6)"
"ENSG00000179403","VWA1",20562.4524322141,1660,19276.8771192791,1761,0.0666900196012166,0.51753484350214,101,1.3546726427442,"[0,5)","[0,6)"
"ENSG00000160075","SSU72",23141.7658734207,1355,23109.5894292349,1299,0.00139234166337373,-0.475949843436193,-56,-0.751105623699755,"[0,5)","[0,6)"
"ENSG00000078369","GNB1",32110.0749754278,549,32035.8669553036,500,0.00231640430482937,-0.461890506059268,-49,-0.657217420737286,"[0,5)","[0,6)"
"ENSG00000187730","GABRD",17125.7910494131,1999,16627.5084534614,2004,0.0299673638625009,-0.0411894066136267,5,0.0670630021160496,"[0,5)","[0,6)"
"ENSG00000067606","PRKCZ",24467.6042017034,1186,24400.6342163256,1134,0.00274460019293061,-0.455375633382731,-52,-0.697455222006915,"[0,5)","[0,6)"
"ENSG00000158109","TPRG1L",24086.2235030301,1226,23943.8244622163,1195,0.0059472136975657,-0.406648824474371,-31,-0.415790613119507,"[0,5)","[0,6)"
"ENSG00000069424","KCNAB2",30726.2214918783,632,29828.3212755655,641,0.0301022711944681,-0.0391368318100843,9,0.120713403808889,"[0,5)","[0,6)"
"ENSG00000116254","CHD5",19599.8807740665,1765,19184.3306981116,1772,0.0216609107971554,-0.167569611604196,7,0.0938882029624694,"[0,5)","[0,6)"
"ENSG00000116251","RPL22",41463.8069739861,238,40842.0766114223,213,0.0152227901749231,-0.265523695927658,-25,-0.335315010580248,"[0,5)","[0,6)"
"ENSG00000097021","ACOT7",31168.0566998408,597,30992.8249697713,561,0.00565394507407617,-0.411110819078126,-36,-0.482853615235557,"[0,5)","[0,6)"
"ENSG00000215788","TNFRSF25",11042.2157984544,2312,10638.5319297777,2312,0.0379454488026515,0.0801947753273882,0,0,"[0,5)","[0,6)"
